ENSEMBL	SYMBOL	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	logFDR	n.studies
ENSG00000174501	ANKRD36C	0.0510197492036293	1.36163207828056	2.67224440735749	0.0417240724951643	30.7791432051483	2.07202014819886e-07	0.668692047106414	1.23102626613551	93.5020933277133	15.3895716025742	0.511232859381183	1	0.291381239768875	3
ENSG00000135205	CCDC146	-11.106386387337	-5.64641380498129	-0.186441222625573	0.0426735908957905	16244.3346864084	0	2.78575148595754	23.2740821991565	99.9876880153074	8122.1673432042	0.518654136079903	1	0.285122154412569	3
ENSG00000169902	TPST1	0.0685368822859207	2.14476714067563	4.22099739906533	0.0429019918928112	35.0773892025011	2.41569285563743e-08	1.05932061750458	3.01263789319614	94.2983213817481	17.5386946012506	0.520409409755602	1	0.283654859366431	3
ENSG00000065833	ME1	0.0458060362567596	1.48049650150434	2.91518696675191	0.0431205259208602	493.755368937588	6.05876251972581e-108	0.731998381890806	1.58993697130993	99.5949411133891	246.877684468794	0.522216110527741	1	0.282149734187965	3
ENSG00000070882	OSBPL3	-1.13506060998348	-0.576373621319858	-0.0176866326562398	0.0431751594880684	69.2348052066781	9.24385387342254e-16	0.285049619824889	0.173374231763615	97.1112795160907	34.617402603339	0.522411733698767	1	0.281987077094012	3
ENSG00000124145	SDC4	0.104493324424503	3.5077189070986	6.9109444897727	0.0433685448859829	1173.21019103725	1.74037950341775e-255	1.73637148923057	9.00912781585951	99.8295275633233	586.605095518624	0.522539592636283	1	0.281880797634093	3
ENSG00000151090	THRB	0.107158806298962	3.51965536152998	6.93215191676101	0.0432269426097149	194.978363846585	4.58127377124639e-43	1.74110166418789	8.90193068739355	98.9742451621075	97.4891819232923	0.522539592636283	1	0.281880797634093	3
ENSG00000176809	LRRC37A3	-6.47485887235794	-3.2864537482744	-0.0980486241908531	0.0433589082589298	648.302826268848	1.67043651372314e-141	1.62676720043494	7.88165865347199	99.6915021932712	324.151413134424	0.522539592636283	1	0.281880797634093	3
ENSG00000086758	HUWE1	0.0208383956092598	0.718067924082159	1.41529745255506	0.043534817320257	17.010566084571	0.000202396271475273	0.355735887992105	0.28629984545812	88.2426017449587	8.5052830422855	0.523034230035229	1	0.281469887750404	3
ENSG00000078618	NRDC	0.016212091154057	0.59491072014243	1.1736093491308	0.0439180767061471	22.4878809640074	1.30863548907599e-05	0.295259828013716	0.183927168581361	91.1063207636101	11.2439404820037	0.525777609667243	1	0.279197912343408	3
ENSG00000108669	CYTH1	0.0134013822308963	0.517477048943016	1.02155271565514	0.044212380401386	38.1075970698834	5.30933876962049e-09	0.25718618846479	0.157089918850003	94.7517026688082	19.0537985349417	0.526515154674751	1	0.278589124009549	3
ENSG00000197119	SLC25A29	-1.22338668752285	-0.619490187411716	-0.0155936873005876	0.0443704981287332	34.7192648029671	2.88939848120362e-08	0.308116120946399	0.21248903948267	94.2395093578448	17.3596324014836	0.527472751835098	1	0.277799970216633	3
ENSG00000104517	UBR5	0.0148398074238194	0.596670968791957	1.17850213016009	0.044436105073529	2.23682543316646	0.326798104373686	0.296858088188124	0.0402203362046157	10.5875688667939	1.11841271658323	0.527790518353657	1	0.27753841605548	3
ENSG00000100523	DDHD1	0.017401303013634	0.772805063347331	1.52820882368103	0.0449509409648984	273.885453931884	3.36147079129222e-60	0.385417163933738	0.438873267275361	99.2697677181142	136.942726965942	0.530149964774185	1	0.275601263113436	3
ENSG00000162989	KCNJ3	-3.02440666344871	-1.52976512929649	-0.0351235951442583	0.0448538466768768	126.034248380484	4.28559077742677e-28	0.762586224002976	1.57004962321049	98.413129743939	63.0171241902421	0.530149964774185	1	0.275601263113436	3
ENSG00000157741	UBN2	-1.61092292127069	-0.814094937392771	-0.0172669535148555	0.0452378981258086	50.8239107014902	9.19873307362375e-12	0.406552360228654	0.404705061227578	96.0648443372514	25.4119553507451	0.530353803934351	1	0.275434311847146	3
ENSG00000090975	PITPNM2	0.0283967202454121	1.70067711310819	3.37295750597097	0.0462345367651995	196.41751454355	2.23089249408822e-43	0.853219960189838	2.13487190716469	98.9817608655482	98.208757271775	0.536074683252839	1	0.270774702349794	3
ENSG00000107771	CCSER2	0.0360537534824994	2.38662436251964	4.73719497155677	0.0465880167208217	102.309750550033	6.07742972407598e-23	1.19929275618233	4.1827870927004	98.045152109894	51.1548752750165	0.536074683252839	1	0.270774702349794	3
ENSG00000131323	TRAF3	-1.18760166754443	-0.598831396450051	-0.0100611253556747	0.0462114737880774	49.8863012253353	1.47003382431915e-11	0.300398515349527	0.193239808643034	95.9908833670269	24.9431506126677	0.536074683252839	1	0.270774702349794	3
ENSG00000145730	PAM	0.01796456719243	1.20570061666832	2.39343666614421	0.0466340749058341	99.4400760625124	2.55188937097839e-22	0.605998915717125	1.06189061340635	97.9887384652213	49.7200380312562	0.536074683252839	1	0.270774702349794	3
ENSG00000241973	PI4KA	0.0128296639535473	0.807449654842936	1.60206964573232	0.0464139865418731	45.3702957752051	1.40593567549438e-10	0.405425812493112	0.377325145737737	95.5918294870518	22.6851478876025	0.536074683252839	1	0.270774702349794	3
ENSG00000043093	DCUN1D1	0.0123181704643491	0.887418146941372	1.7625181234184	0.0468611457550289	303.057465001178	1.55563471160817e-66	0.446487784153025	0.58791027874542	99.3400591534704	151.528732500589	0.536766955887055	1	0.270214227782493	3
ENSG00000054282	SDCCAG8	0.013950889591579	0.986578986919351	1.95920708424712	0.0468032050867715	1.72952386536497	0.188471715765426	0.496247943839651	0.222368195826701	42.1806186069032	1.72952386536497	0.536766955887055	1	0.270214227782493	2
ENSG00000107372	ZFAND5	0.011629084895547	1.01008229717414	2.00853550945273	0.0473906811782357	41.4171664222178	1.01479094507592e-09	0.509424265014184	0.735088476798247	95.171084425208	20.7085832111089	0.539292445662807	1	0.268175663208845	3
ENSG00000178904	DPY19L3	0.0273352442645916	2.36909206906692	4.71084889386925	0.0473850167561575	352.521658900409	2.82419314195778e-77	1.1947958448593	4.2310610999763	99.4326589730009	176.260829450205	0.539292445662807	1	0.268175663208845	3
ENSG00000077713	SLC25A43	0.00875932645114352	0.804095909933255	1.59943249341537	0.0475296538334309	171.370035629081	6.13012854306557e-38	0.405791427677052	0.483247878012267	98.832934828625	85.6850178145405	0.540420921643767	1	0.26726784621818	3
ENSG00000101198	NKAIN4	0.00618422752988845	0.620005394864079	1.23382656219827	0.0477360618081015	230.424131216971	9.20525147967e-51	0.313179819719104	0.28870749268518	99.1320353517502	115.212065608486	0.541860179855172	1	0.266112763186888	3
ENSG00000101493	ZNF516	0.0185035037725041	2.17338451413067	4.32826552448884	0.048064945367281	170.87782889227	7.84062921093501e-38	1.09944928955613	3.48216255383453	98.8295731441784	85.438914446135	0.543427609817474	1	0.264858300245027	3
ENSG00000163116	STPG2	-4.06157107084912	-2.03942477990577	-0.0172784889624205	0.0480742898785199	134.913919060668	5.05608899974479e-30	1.03172624950957	3.0321837692724	98.5175732689963	67.4569595303341	0.543427609817474	1	0.264858300245027	3
ENSG00000039319	ZFYVE16	0.00484542158022983	1.04142490639058	2.07800439120093	0.0489386576858567	25.6199509400205	2.73336947466755e-06	0.528876802322265	0.702925021916394	92.1935838023958	12.8099754700102	0.544355216849904	1	0.264117610645352	3
ENSG00000142875	PRKACB	0.00786151540117941	1.79086956591164	3.5738776164221	0.0489983850169845	196.964189790979	1.69734302721728e-43	0.909714701175431	2.42441314624839	98.9845869941524	98.4820948954897	0.544355216849904	1	0.264117610645352	3
ENSG00000185046	ANKS1B	-4.96853102115953	-2.49046344252177	-0.0123958638840138	0.0488649455179476	67.8469596245531	1.85020525694197e-15	1.26434342578968	4.43579416217784	97.0521892048406	33.9234798122766	0.544355216849904	1	0.264117610645352	3
ENSG00000185950	IRS2	0.00762456480366747	1.44383480791994	2.8800450510362	0.0487960891435277	336.664071410225	7.84017516390016e-74	0.732773793010949	1.59302244219414	99.4059360146088	168.332035705112	0.544355216849904	1	0.264117610645352	3
ENSG00000116489	CAPZA1	0.00236974363323106	0.598242836382455	1.19411592913168	0.0490958177040302	59.3619142697132	1.28743140448432e-13	0.304022470539966	0.252580269900134	96.6308364132044	29.6809571348566	0.544991677146291	1	0.263610130011503	3
ENSG00000169504	CLIC4	0.00393476460590225	1.29636400638297	2.58879324816004	0.0493065769546965	189.123720475511	8.55669200966434e-42	0.659414791277587	1.28925342664519	98.9424911930817	94.5618602377555	0.546437623458743	1	0.262459406145708	3
ENSG00000115524	SF3B1	0.000445496816257718	0.506239919673065	1.01203434252987	0.0497985525335502	60.3052854693357	8.03292376765034e-14	0.258063120978982	0.188194527563021	96.6835411118036	30.1526427346679	0.550143016435332	1	0.259524395642674	3
ENSG00000198874	TYW1	-2.69533432513615	-1.34775533479097	-0.000176344445794729	0.0499700274037395	47.5153312228058	4.81035271779274e-11	0.687552935143047	1.17353006191133	95.7908322460771	23.7576656114029	0.550143016435332	1	0.259524395642674	3
ENSG00000157869	RAB28	-1.8863884785888	-0.93829244123649	0.00980359611581461	0.0524164791959922	41.1442669012181	1.16315063314164e-09	0.483731356714085	0.535250995111981	95.1390554489603	20.572133450609	0.565783892110481	1	0.247349421083896	3
ENSG00000124782	RREB1	-1.11519638354327	-0.552100246160987	0.0109958912212924	0.0546446908584139	69.4466931013417	8.31461606032177e-16	0.287299226834732	0.176161354094253	97.1200932532792	34.7233465506708	0.576422939466844	1	0.239258744225795	3
ENSG00000046653	GPM6B	-0.0723130669658483	3.47684843197057	7.02600993090698	0.0548540690706547	36.1772761921075	1.39381229041019e-08	1.81082995755624	8.73095053067907	94.4716678243557	18.0886380960538	0.577103705525495	1	0.238746137120711	3
ENSG00000167996	FTH1	-0.0815364878010989	3.7411354056452	7.56380729909151	0.0550909142242996	1328.61401006946	3.12703990726533e-289	1.95037864144395	11.3783348053913	99.8494671902568	664.307005034728	0.57759368799019	1	0.238377561432199	3
ENSG00000058272	PPP1R12A	-0.0478777727385704	1.97993057252809	4.00773891779476	0.0556600258552166	27.1244463969812	1.28825341547409e-06	1.03461510581917	2.75616648630321	92.6265776240042	13.5622231984906	0.582157558559646	1	0.23495945941802	3
ENSG00000077549	CAPZB	-0.0133753585046068	0.520019028735547	1.0534134159757	0.0560282216207647	38.6089520993069	4.13211667294612e-09	0.272144994218007	0.16552610826279	94.8198542274451	19.3044760496535	0.584208246331414	1	0.233432317080112	3
ENSG00000115840	SLC25A12	-2.82862671490582	-1.39560806474731	0.0374105854111964	0.0562882981619021	31.4142892719086	1.50825147305611e-07	0.731145399334873	1.35987424314685	93.6334704799817	15.7071446359543	0.585570832065887	1	0.232420564101849	3
ENSG00000011295	TTC19	-0.015674403114653	0.531165056337151	1.07800451578896	0.0569382814211009	30.9378117025451	1.91398948576656e-07	0.279004850989714	0.206462685747406	93.5354186675218	15.4689058512726	0.586017143665741	1	0.232089678707977	3
ENSG00000090989	EXOC1	-0.0179372190874809	0.605374170417088	1.22868555992166	0.056967315362987	38.5643790370982	4.22524107518756e-09	0.318021858779635	0.281899488751393	94.8138669675556	19.2821895185491	0.586017143665741	1	0.232089678707977	3
ENSG00000137845	ADAM10	-0.0151245143854131	0.50694047943686	1.02900547325913	0.0570167053716866	23.6662021997889	7.2602151114191e-06	0.26636458523741	0.161150906495057	91.5491299232716	11.8331010998945	0.586017143665741	1	0.232089678707977	3
ENSG00000145087	STXBP5L	-0.0288515237679072	0.908730374213205	1.84631227219432	0.057478876528054	13.3224954503846	0.00127954884862416	0.478366901318922	0.50502781737164	84.9877974629576	6.66124772519232	0.587974733541187	1	0.230641336031691	3
ENSG00000175582	RAB6A	-0.0439341246290239	1.35353178883478	2.75099770229859	0.0576505433998102	66.4334006867445	3.75120098560998e-15	0.713005914642738	1.4303127310457	96.9894661731519	33.2167003433722	0.588469005410394	1	0.230276406454731	3
ENSG00000167323	STIM1	-1.62508767300282	-0.799332448394684	0.0264227762134566	0.0577951566002126	41.1668127485999	1.15011215378053e-09	0.421311427720913	0.453126324327412	95.1417176447112	20.5834063743	0.58861743886308	1	0.230166875281236	3
ENSG00000165115	KIF27	-4.54642477805698	-2.23495108835557	0.0765226013458373	0.0580820284777332	4015.4645814425	0	1.17934498181294	4.16789815946342	99.9501925627923	2007.73229072125	0.588643140569524	1	0.230147912428863	3
ENSG00000171714	ANO5	-0.0289082763383188	0.814153597469805	1.65721547127793	0.0583901188388294	263.742608694757	5.35821579861873e-58	0.430141513037019	0.546798708897488	99.2416849101865	131.871304347379	0.589809712318414	1	0.229288080255627	3
ENSG00000261609	GAN	-0.10993129878753	2.88904709653152	5.88802549185056	0.0590099690701948	84.2510183187497	5.07135280528759e-19	1.53011913431808	6.83567215457951	97.6261414521622	42.1255091593749	0.592543890604264	1	0.227279475290404	3
ENSG00000107643	MAPK8	-0.0860770744258672	2.23504756012455	4.55617219467497	0.0591226390423617	85.2771845658621	3.03595028415362e-19	1.18426902374694	4.04422822569306	97.6547068126348	42.638592282931	0.592684326433298	1	0.227176557548453	3
ENSG00000168300	PCMTD1	-0.0214198425571126	0.539480770333892	1.1003813832249	0.0594141397195469	35.1501503338421	2.32938801141241e-08	0.286179040694277	0.196674472603781	94.3101239084192	17.5750751669211	0.593657107803168	1	0.226464328061179	3
ENSG00000105778	AVL9	-0.0225901784695175	0.557422894611688	1.13743596769289	0.059615327378994	27.2265163187655	1.22415694459854e-06	0.295930475078254	0.196823339130392	92.6542199648894	13.6132581593827	0.594153955297464	1	0.226101007421377	3
