gene	sig.nft.up	sig.plaq.up	sig.plaq.dw	sig.nft.dw	ntest	nft.resid	nft	plaq_n	dir	set
PTPRM	0	0	3	0	6	0.00107365056332324	-0.000249222053949927	-0.003444976142976	Plaque	Opc_Opc
DOCK10	0	0	3	0	6	0.00109534577780326	-0.000666111740381342	-0.00322999594985636	Plaque	Opc_Opc
SLC18B1	2	3	0	0	6	0.00113561063908894	0.00380514541038722	0.00328837006086661	Plaque	Opc_Opc
NOS1AP	0	0	5	2	6	0.00116261598286907	-0.00184741262710514	-0.00617753730812962	Plaque	Opc_Opc
PLXNA2	0	0	3	2	6	0.00127621363181854	-0.00134511061098461	-0.00516250580170584	Plaque	Opc_Opc
MTSS1	0	0	3	1	6	0.0013036958142391	0.000204459872166945	-0.00286202451569045	Plaque	Opc_Opc
GAD1	0	0	4	1	6	0.00135466649289527	-0.00155586585879345	-0.0041437129623028	Plaque	Opc_Opc
CATSPER2	0	0	3	2	6	0.00138473040848014	-0.00049475258208496	-0.00339557280042687	Plaque	Opc_Opc
NOTCH1	0	0	3	1	6	0.00142317025630689	-0.000483307140362509	-0.0030898264187315	Plaque	Opc_Opc
SETBP1	0	0	6	2	6	0.00144096319326399	-0.00295842353616827	-0.00771734655506414	Plaque	Opc_Opc
BBS2	2	4	0	0	6	0.00146178888496466	0.00380792481470252	0.00330492828604774	Plaque	Opc_Opc
GABBR2	0	0	3	2	6	0.00149716092348461	-0.00242705888058088	-0.00758481375310715	Plaque	Opc_Opc
ST7	0	0	4	0	6	0.00152060246206281	-0.000208429845089156	-0.00305308029567085	Plaque	Opc_Opc
RGS7	0	0	3	1	6	0.00152892717349654	-0.000470084829671533	-0.00344930907148928	Plaque	Opc_Opc
ZNF385D	0	0	3	0	6	0.00155519150351457	-0.00123723865651445	-0.00845675234777612	Plaque	Opc_Opc
CADPS	0	0	3	2	6	0.00162885015255846	-0.00161596656079528	-0.00592613486753697	Plaque	Opc_Opc
CDH6	0	0	4	0	6	0.00162958257783741	-0.00241988905397583	-0.0091068672474567	Plaque	Opc_Opc
ST8SIA5	0	0	3	0	6	0.00167855271040788	-0.00256224911370335	-0.0077228814690323	Plaque	Opc_Opc
RAD21	2	3	0	0	6	0.00170221559697118	0.00449354357778337	0.00431311747044856	Plaque	Opc_Opc
C15orf41	2	3	0	0	6	0.00172487085620465	0.00423849320692576	0.00324602054410784	Plaque	Opc_Opc
NACA	2	3	0	0	6	0.00174207484965473	0.00372915617018204	0.00405798183700659	Plaque	Opc_Opc
UNC5C	2	3	0	0	6	0.00177438975548298	0.00332483691445558	0.00144632294497822	Plaque	Opc_Opc
AKT2	0	0	4	2	6	0.00180045601834797	-0.00103887162964951	-0.00512348247665125	Plaque	Opc_Opc
PLA2G4C	0	0	5	2	6	0.0018098420993544	-0.00278974117845737	-0.00788311184608509	Plaque	Opc_Opc
PTPRO	0	0	5	1	6	0.00194125736517401	-0.00339528905779177	-0.00897375891460458	Plaque	Opc_Opc
SFPQ	0	0	5	2	6	0.00194469063734888	-0.0020395170669889	-0.0069353177859019	Plaque	Opc_Opc
PTPRS	0	0	3	0	6	0.00199361360471946	0.000504998443938228	-0.00279473000544685	Plaque	Opc_Opc
MFAP3L	0	0	3	0	6	0.00200839203470423	0.000106933627038522	-0.00305999635104403	Plaque	Opc_Opc
TSPAN11	0	0	3	0	6	0.00208015637136161	-0.000519516441570198	-0.00560388339243979	Plaque	Opc_Opc
GALNT10	0	0	4	1	6	0.00225711267505204	-0.0012208074200995	-0.00693369332523939	Plaque	Opc_Opc
TRIB2	0	0	3	1	6	0.0022820034493482	0.000444673945207598	-0.00520420344611978	Plaque	Opc_Opc
DOK5	0	0	5	2	6	0.00243198721894921	-0.00385553279368279	-0.0103668095843141	Plaque	Opc_Opc
SEL1L3	0	0	3	0	6	0.00243262080296309	0.000162794922976907	-0.00486449973621686	Plaque	Opc_Opc
KIFC3	0	0	3	0	6	0.00243720234599587	-0.000888961984663694	-0.00521901616086665	Plaque	Opc_Opc
MPHOSPH6	0	0	4	2	6	0.0026395647847122	-0.000345310581642931	-0.00530364019279938	Plaque	Opc_Opc
LTBP1	0	0	3	0	6	0.00279261719600601	-0.000715744416288493	-0.00676068146622896	Plaque	Opc_Opc
NETO1	0	0	3	0	6	0.00293462673559096	0.00149159101637789	-0.00392532590458876	Plaque	Opc_Opc
ST3GAL6	0	0	3	0	6	0.00297406817390842	0.00111695946711583	-0.00365649627427842	Plaque	Opc_Opc
SLC27A1	0	0	3	1	6	0.00298555873399349	0.000379388467328114	-0.00446872117818593	Plaque	Opc_Opc
SYT14	0	0	4	1	6	0.00303284940876442	0.00137771172113966	-0.00328216917547592	Plaque	Opc_Opc
XPO1	0	0	3	0	6	0.00325897248680883	0.00065349482649488	-0.00363976814578764	Plaque	Opc_Opc
REV3L	0	0	3	0	6	0.00329544866651851	0.000999523246625764	-0.00450358032931068	Plaque	Opc_Opc
FAM135B	0	0	4	0	6	0.00331677943386062	-0.000499580014486992	-0.00642375679012775	Plaque	Opc_Opc
MYO16	0	0	3	2	6	0.00334337779751893	-0.000894120983129012	-0.0067862268015709	Plaque	Opc_Opc
NKAIN3	0	0	3	0	6	0.00344847818372395	0.00122308335353082	-0.00487519858223656	Plaque	Opc_Opc
TET1	0	0	3	0	6	0.00383092701299298	0.00196522804288839	-0.00275421343120119	Plaque	Opc_Opc
SORL1	0	0	3	0	6	0.00392633937994268	0.00118710089990758	-0.00338931011047455	Plaque	Opc_Opc
HSPA4L	2	0	3	1	6	0.00411321913682677	0.00133186777470619	-0.00408168721567311	Plaque	Opc_Opc
GPC6	0	0	5	1	6	0.00518731436172321	0.000353198906681439	-0.0104193701112085	Plaque	Opc_Opc
